0,0,M,0,0,3174
0,1,F,2,0,189
0,2,M,0,0,10
0,3,F,6,0,139
0,4,M,3,0,61
0,5,F,6,0,109
0,6,M,1,0,85
0,7,M,0,1,180
0,8,M,7,2,185
0,9,F,5,0,120
0,10,F,4,1,161
0,11,M,1,0,88
0,12,M,5,2,179
0,13,F,7,0,149
0,14,F,4,1,160
0,15,M,6,0,65
0,16,F,2,0,135
0,17,F,7,1,165
0,18,M,6,0,70
0,19,F,4,0,90
1,0,L,3,1,194
1,1,L,5,1,160
1,2,S,4,1,165
1,3,S,3,1,174
1,4,L,5,0,126
1,5,L,6,1,173
1,6,S,0,0,60
1,7,L,1,0,89
1,8,L,2,1,165
1,9,S,0,0,119
1,10,L,6,0,40
1,11,L,2,1,165
1,12,L,1,0,160
1,13,S,6,0,11
1,14,L,0,0,164
1,15,S,1,0,14
1,16,S,2,1,195
1,17,S,6,1,175
1,18,S,4,1,195
1,19,S,5,1,189
2,0,M,1,0,236
2,1,L,6,0,59
2,2,M,6,0,180
2,3,L,3,0,9
2,4,F,1,0,165
2,5,L,1,1,165
2,6,M,2,0,30
2,7,S,2,1,196
2,8,M,5,1,184
2,9,S,4,1,187
2,10,M,3,1,183
2,11,S,0,2,195
2,12,M,6,1,188
2,13,L,3,0,149
2,14,M,3,0,46
2,15,L,5,0,115
2,16,M,1,0,59
2,17,S,2,1,196
2,18,F,0,0,74
2,19,L,0,1,166
2,20,F,2,1,133
2,21,S,6,0,161
2,22,F,5,0,19
2,23,S,5,1,186
2,24,M,7,1,189
2,25,S,4,1,189
2,26,F,4,0,104
2,27,S,6,0,100
2,28,F,6,0,75
2,29,L,5,1,150
2,30,F,0,1,160
2,31,L,0,1,175
2,32,M,6,1,185
2,33,S,5,1,190
2,34,F,1,0,159
2,35,L,1,1,220
2,36,M,2,0,29
2,37,L,5,0,154
2,38,M,1,0,46
2,39,L,2,0,134
3,0,M,2,0,160
3,1,L,0,0,59
3,2,M,3,0,165
3,3,L,6,0,40
3,4,F,4,1,165
3,5,L,1,0,175
3,6,F,1,1,191
3,7,L,0,1,189
3,8,M,6,0,20
3,9,S,6,1,199
3,10,F,7,0,139
3,11,L,1,1,205
3,12,M,2,0,59
3,13,L,0,0,129
3,14,F,6,1,205
3,15,S,3,0,102
3,16,M,1,1,211
3,17,L,4,0,26
3,18,M,6,1,184
3,19,S,6,1,190
3,20,M,2,1,190
3,21,S,3,1,209
3,22,M,5,1,219
3,23,L,6,0,95
3,24,F,2,1,164
3,25,L,3,1,190
3,26,F,4,0,171
3,27,S,6,0,25
3,28,M,1,1,199
3,29,L,3,0,111
3,30,M,2,0,83
3,31,S,2,1,196
3,32,M,6,1,224
3,33,L,5,0,29
3,34,F,4,0,160
3,35,S,1,0,25
3,36,M,0,1,195
3,37,S,0,1,225
3,38,F,5,0,80
3,39,L,2,1,183
4,0,M,1,0,648
4,1,F,0,0,49
4,2,M,4,0,119
4,3,M,0,1,180
4,4,M,3,1,180
4,5,F,5,0,70
4,6,F,4,1,204
4,7,M,6,0,75
4,8,M,2,1,189
4,9,F,5,0,164
4,10,M,2,0,10
4,11,M,3,0,185
4,12,M,0,1,201
4,13,M,4,1,180
4,14,F,1,0,59
4,15,M,0,0,134
4,16,F,5,0,70
4,17,F,2,1,190
4,18,F,6,1,195
4,19,F,7,1,200
5,0,F,4,0,119
5,1,L,4,0,94
5,2,F,2,0,105
5,3,S,1,1,201
5,4,M,5,0,38
5,5,L,3,0,175
5,6,F,3,0,15
5,7,S,0,1,189
5,8,F,7,1,229
5,9,S,6,1,196
5,10,M,4,0,109
5,11,S,0,0,71
5,12,M,6,0,119
5,13,L,5,1,220
5,14,F,0,0,30
5,15,L,2,0,160
5,16,F,4,0,45
5,17,S,0,1,199
5,18,M,2,0,157
5,19,S,1,0,58
5,20,F,5,1,224
5,21,L,0,0,135
5,22,M,3,1,210
5,23,S,1,0,90
5,24,M,6,0,115
5,25,L,5,1,185
5,26,F,4,0,129
5,27,L,2,0,60
5,28,F,6,0,154
5,29,S,1,1,235
5,30,F,2,1,230
5,31,S,5,1,200
5,32,F,4,2,214
5,33,L,0,0,165
5,34,F,2,0,24
5,35,S,6,1,190
5,36,M,0,0,135
5,37,L,1,1,200
5,38,M,3,1,184
5,39,S,3,0,126
6,0,F,1,1,408
6,1,S,2,1,190
6,2,F,5,1,200
6,3,S,4,1,244
6,4,M,2,0,95
6,5,L,2,1,194
6,6,M,5,1,190
6,7,L,6,0,200
6,8,M,3,2,209
6,9,S,4,1,226
6,10,F,4,1,214
6,11,S,1,1,205
6,12,M,6,0,80
6,13,S,0,1,254
6,14,M,7,0,155
6,15,L,6,1,180
6,16,M,2,1,200
6,17,L,0,1,178
6,18,F,4,0,100
6,19,L,6,0,75
6,20,F,2,0,128
6,21,L,0,0,21
6,22,F,3,1,180
6,23,S,1,1,175
6,24,F,4,1,149
6,25,L,2,0,160
6,26,M,5,1,184
6,27,S,3,0,45
6,28,M,6,0,129
6,29,L,1,1,194
6,30,M,1,1,191
6,31,S,4,0,79
6,32,M,3,0,99
6,33,L,5,1,176
6,34,F,2,0,140
6,35,L,2,0,14
6,36,M,5,0,176
6,37,L,0,1,192
6,38,F,7,0,40
6,39,L,3,0,125
